example_id                                                          | status  | run_time        |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:20]        | passed  | 0.00187 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:21]        | passed  | 0.00165 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:22]        | passed  | 0.00137 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:23]        | passed  | 0.00179 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:24]        | passed  | 0.00146 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:25]        | passed  | 0.00181 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:26]        | passed  | 0.00164 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:27]        | passed  | 0.00193 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:28]        | passed  | 0.00155 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:29]        | passed  | 0.00153 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:30]        | passed  | 0.00173 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:31]        | passed  | 0.00143 seconds |
./spec/routing/means_of_influences_routing_spec.rb[1:1:9:32]        | passed  | 0.00168 seconds |
./spec/support/factories_spec.rb[1:1:1]                             | passed  | 0.00139 seconds |
./spec/support/factories_spec.rb[1:2:1]                             | passed  | 0.00164 seconds |
./spec/support/factories_spec.rb[1:3:1]                             | passed  | 0.00151 seconds |
./spec/support/factories_spec.rb[1:4:1]                             | passed  | 0.00108 seconds |
./spec/support/factories_spec.rb[1:5:1]                             | passed  | 0.00409 seconds |
./spec/support/factories_spec.rb[1:6:1]                             | passed  | 0.00893 seconds |
./spec/support/factories_spec.rb[1:7:1]                             | passed  | 0.0095 seconds  |
./spec/support/factories_spec.rb[1:8:1]                             | passed  | 0.00116 seconds |
./spec/support/factories_spec.rb[1:9:1]                             | passed  | 0.00158 seconds |
./spec/support/factories_spec.rb[1:10:1]                            | passed  | 0.00112 seconds |
./spec/support/factories_spec.rb[1:11:1]                            | passed  | 0.00109 seconds |
./spec/support/factories_spec.rb[1:12:1]                            | passed  | 0.00163 seconds |
./spec/support/factories_spec.rb[2:1:1]                             | passed  | 0.00154 seconds |
./spec/support/factories_spec.rb[2:2:1]                             | passed  | 0.00118 seconds |
./spec/support/factories_spec.rb[2:3:1]                             | passed  | 0.00657 seconds |
./spec/support/factories_spec.rb[2:4:1]                             | passed  | 0.00181 seconds |
./spec/support/factories_spec.rb[2:5:1]                             | passed  | 0.00357 seconds |
./spec/support/factories_spec.rb[2:6:1]                             | passed  | 0.0101 seconds  |
./spec/support/factories_spec.rb[2:7:1]                             | passed  | 0.01122 seconds |
./spec/support/factories_spec.rb[2:8:1]                             | passed  | 0.0018 seconds  |
./spec/support/factories_spec.rb[2:9:1]                             | passed  | 0.00188 seconds |
./spec/support/factories_spec.rb[2:10:1]                            | passed  | 0.00187 seconds |
./spec/support/factories_spec.rb[2:11:1]                            | passed  | 0.00843 seconds |
./spec/support/factories_spec.rb[2:12:1]                            | passed  | 0.00873 seconds |
./spec/views/api/v1/api_docs/index.html.haml_spec.rb[1:1]           | pending | 0.00001 seconds |
./spec/views/api/v1/docs/index.html.haml_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/views/entities/edit.html.haml_spec.rb[1:1]                   | passed  | 0.0621 seconds  |
./spec/views/entities/index.html.haml_spec.rb[1:1]                  | passed  | 0.02663 seconds |
./spec/views/entities/new.html.haml_spec.rb[1:1]                    | passed  | 0.07033 seconds |
./spec/views/entities/show.html.haml_spec.rb[1:1]                   | passed  | 0.10277 seconds |
./spec/views/main/index.html.haml_spec.rb[1:1]                      | pending | 0.00002 seconds |
./spec/views/means_of_influences/edit.html.haml_spec.rb[1:1]        | passed  | 0.04942 seconds |
./spec/views/means_of_influences/index.html.haml_spec.rb[1:1]       | passed  | 0.03465 seconds |
./spec/views/means_of_influences/new.html.haml_spec.rb[1:1]         | passed  | 0.025 seconds   |
./spec/views/means_of_influences/show.html.haml_spec.rb[1:1]        | passed  | 0.02695 seconds |
